open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704474000000,1.834200,1.876000,1.818100,1.874400,30234334.4,1704477599999,55963753.9914200,105807,15438922.2,28593646.9017600,0
1704477600000,1.874300,1.902000,1.870300,1.891800,16136200.4,1704481199999,30438075.3727500,56247,8500930.6,16036345.7724900,0
1704481200000,1.891800,1.911200,1.884700,1.894800,14815163.2,1704484799999,28141734.1170800,54617,7398601.8,14057526.6799700,0
1704484800000,1.894800,1.921500,1.893500,1.910200,15853473.1,1704488399999,30204418.4904600,55684,8035546.4,15309536.1013700,0
1704488400000,1.910100,1.910700,1.884400,1.902600,13702118.2,1704491999999,25980193.2335800,48841,6527970.7,12378494.0784000,0
1704492000000,1.902700,1.904400,1.882800,1.902400,7895121.5,1704495599999,14954899.5857200,26714,3876823.9,7343657.5025800,0
1704495600000,1.902300,1.953400,1.902300,1.951500,22577755.9,1704499199999,43551431.9955900,76749,11858064.6,22870648.5860600,0
1704499200000,1.951400,1.964300,1.920600,1.928100,19524216.0,1704502799999,37962651.6290600,70957,9588083.6,18649392.4238300,0
1704502800000,1.928000,1.929800,1.880400,1.886600,16449173.2,1704506399999,31207313.7428800,57086,7582885.5,14382466.4524500,0
1704506400000,1.886800,1.892300,1.836000,1.863400,20702075.9,1704509999999,38506054.7668300,66898,9689782.8,18021283.6843200,0
1704510000000,1.863400,1.865400,1.846600,1.850500,10627173.7,1704513599999,19720762.5007400,30562,4993988.8,9267298.7699400,0
1704513600000,1.850500,1.866600,1.792200,1.809000,22000197.8,1704517199999,40266504.7578700,72443,9707156.8,17789376.2951600,0
1704517200000,1.809000,1.824700,1.698700,1.737200,61351801.3,1704520799999,107758971.4797800,203220,27455231.0,48239038.7373400,0
1704520800000,1.737300,1.738500,1.687200,1.719300,36973180.7,1704524399999,63257156.1629200,129957,18603325.1,31847088.3078600,0
1704524400000,1.719300,1.763400,1.712800,1.762200,27346420.2,1704527999999,47569250.6757000,98084,15801844.8,27493901.3670000,0
1704528000000,1.762200,1.776600,1.743700,1.775800,14069193.6,1704531599999,24718056.2076700,57116,7133331.1,12538217.6221200,0
1704531600000,1.775900,1.777700,1.757000,1.759000,9522456.6,1704535199999,16815822.7860800,40545,4135323.8,7303888.2175900,0
1704535200000,1.759100,1.764700,1.744400,1.753300,10834375.4,1704538799999,18997355.6017400,40705,4675298.2,8201025.2700200,0
1704538800000,1.753300,1.787500,1.740700,1.786400,14010123.5,1704542399999,24788672.9469700,53837,7810293.9,13827072.5511700,0
1704542400000,1.786500,1.794500,1.750200,1.757700,13654986.1,1704545999999,24193127.3467200,55016,6033706.5,10697488.6727400,0
1704546000000,1.757700,1.774500,1.743500,1.757900,11393133.0,1704549599999,20049593.7583800,44989,5289763.6,9311889.6324500,0
1704549600000,1.758000,1.790000,1.757000,1.769100,14880711.6,1704553199999,26401778.1173200,57852,7465175.4,13244105.0124800,0
1704553200000,1.769000,1.773500,1.747800,1.764900,14773581.0,1704556799999,26047670.0184500,53320,6721235.8,11853684.7542900,0
1704556800000,1.764900,1.773900,1.745100,1.756400,14292690.4,1704560399999,25126357.0586600,53222,6852643.8,12050504.0725500,0
1704560400000,1.756500,1.774400,1.750800,1.771700,8657714.3,1704563999999,15252359.2861200,35740,4371953.9,7700014.4931200,0
1704564000000,1.771700,1.789600,1.759100,1.769700,10329632.4,1704567599999,18306080.2447300,43307,5385259.6,9542602.9311300,0
1704567600000,1.769700,1.772000,1.745000,1.765500,10990685.4,1704571199999,19303859.2140900,44587,5304469.4,9317589.4743800,0
1704571200000,1.765800,1.774300,1.749100,1.763100,10069619.2,1704574799999,17729970.0328400,37153,4588994.6,8078395.1788600,0
1704574800000,1.763100,1.764400,1.746000,1.756900,8287155.8,1704578399999,14537929.8159800,34534,3869969.0,6789139.4965100,0
1704578400000,1.756900,1.758600,1.720900,1.736400,13630892.7,1704581999999,23692131.5983400,50284,6115892.8,10631476.4083900,0
1704582000000,1.736500,1.752600,1.715000,1.751600,9337392.2,1704585599999,16191381.0325200,37722,4399081.3,7632033.5686800,0
1704585600000,1.751600,1.797800,1.746700,1.783600,16438753.2,1704589199999,29200482.1634600,60320,8261602.3,14678002.7115500,0
1704589200000,1.783700,1.803400,1.770800,1.771800,11249243.1,1704592799999,20117001.1197900,44123,5547953.7,9923344.9321300,0
1704592800000,1.771900,1.785900,1.753200,1.774100,8195994.2,1704596399999,14508945.9876400,35974,3950975.5,6995256.6918800,0
1704596400000,1.774000,1.823200,1.773700,1.813800,17323047.1,1704599999999,31264740.9497600,67217,9275323.2,16744805.1914300,0
1704600000000,1.813800,1.842500,1.800700,1.814900,14470032.6,1704603599999,26328893.2488100,57213,7234034.5,13165102.5312100,0
1704603600000,1.814800,1.822700,1.789400,1.793500,12251280.9,1704607199999,22090533.8507700,49893,5388834.6,9719241.9903400,0
1704607200000,1.793500,1.816400,1.788100,1.808100,8846400.0,1704610799999,15947026.2447900,41099,4557345.5,8216454.4106800,0
1704610800000,1.807900,1.813800,1.792800,1.801900,7298921.9,1704614399999,13145528.7369800,34180,3620188.1,6521589.9309700,0
1704614400000,1.801900,1.823200,1.772000,1.775800,14432194.6,1704617999999,25993258.5375100,57775,7057284.0,12719023.5348000,0
1704618000000,1.775800,1.785800,1.753400,1.767500,12246237.8,1704621599999,21650106.5910600,56677,5713736.0,10103463.4566300,0
1704621600000,1.767500,1.801300,1.765600,1.786900,14832106.6,1704625199999,26547480.0488400,62225,7300950.9,13063746.3269100,0
1704625200000,1.786800,1.838000,1.776200,1.816200,17465309.1,1704628799999,31625161.6194900,68518,9087323.2,16451405.7617600,0
1704628800000,1.816100,1.850000,1.802000,1.830800,17622327.1,1704632399999,32236027.4721100,71832,8991923.3,16452804.5553300,0
1704632400000,1.830700,1.876900,1.827100,1.867300,21995348.8,1704635999999,40804892.9131100,89322,11595148.2,21511885.6899100,0
1704636000000,1.867300,1.880000,1.836700,1.848800,17257594.5,1704639599999,32015107.1691000,74260,8121242.3,15073944.0204700,0
1704639600000,1.848800,1.854400,1.808800,1.825300,16388370.4,1704643199999,29974635.9647400,72936,7152836.2,13088825.9795000,0
1704643200000,1.825300,1.854900,1.822500,1.828100,19028266.4,1704646799999,34960446.3501500,82709,8546219.4,15707539.6440600,0
